operation,latency,throughput,memory_usage,cpu_usage,data_size_bytes
decryption,2.542754 s,0.049159 KB/s,"{'current': '264.436523 KB', 'peak': '266.757812 KB'}",3.000000 %,128
encryption,2.071703 s,0.060337 KB/s,"{'current': '42.922852 KB', 'peak': '58.318359 KB'}",74.300000 %,128
decryption,2.514132 s,0.049719 KB/s,"{'current': '12.856445 KB', 'peak': '19.902344 KB'}",2.400000 %,128
encryption,1.798168 s,0.069515 KB/s,"{'current': '13.967773 KB', 'peak': '29.527344 KB'}",74.800000 %,128
decryption,2.511117 s,0.049779 KB/s,"{'current': '12.586914 KB', 'peak': '19.695312 KB'}",3.000000 %,128
encryption,1.336066 s,0.093558 KB/s,"{'current': '10.491211 KB', 'peak': '26.003906 KB'}",65.200000 %,128
decryption,2.486045 s,0.050281 KB/s,"{'current': '8.010742 KB', 'peak': '17.760742 KB'}",2.500000 %,128
encryption,1.679498 s,0.074427 KB/s,"{'current': '11.081055 KB', 'peak': '26.640625 KB'}",72.100000 %,128
decryption,2.511545 s,0.049770 KB/s,"{'current': '6.649414 KB', 'peak': '17.510742 KB'}",2.400000 %,128
encryption,0.420419 s,0.297322 KB/s,"{'current': '29.951172 KB', 'peak': '36.517578 KB'}",3.300000 %,128
decryption,2.417684 s,0.051702 KB/s,"{'current': '33.040039 KB', 'peak': '42.704102 KB'}",0.000000 %,128
encryption,0.421607 s,0.296485 KB/s,"{'current': '7.404297 KB', 'peak': '19.920898 KB'}",0.000000 %,128
decryption,2.428823 s,0.051465 KB/s,"{'current': '3.551758 KB', 'peak': '14.567383 KB'}",0.600000 %,128
encryption,0.416175 s,0.300354 KB/s,"{'current': '5.677734 KB', 'peak': '17.959961 KB'}",0.000000 %,128
decryption,2.417762 s,0.051701 KB/s,"{'current': '2.485352 KB', 'peak': '14.143555 KB'}",0.000000 %,128
encryption,0.420788 s,0.297062 KB/s,"{'current': '4.427734 KB', 'peak': '17.163086 KB'}",0.000000 %,128
decryption,2.415662 s,0.051746 KB/s,"{'current': '8.698242 KB', 'peak': '19.713867 KB'}",0.600000 %,128
encryption,0.420151 s,0.297512 KB/s,"{'current': '4.763672 KB', 'peak': '17.694336 KB'}",0.000000 %,128
decryption,2.447791 s,0.051066 KB/s,"{'current': '2.485352 KB', 'peak': '14.143555 KB'}",0.000000 %,128
encryption,0.546759 s,0.307208 KB/s,"{'current': '76.920898 KB', 'peak': '84.627930 KB'}",0.000000 %,172
decryption,2.421835 s,0.051614 KB/s,"{'current': '66.648438 KB', 'peak': '71.958008 KB'}",0.600000 %,128
encryption,0.552124 s,0.304223 KB/s,"{'current': '14.980469 KB', 'peak': '24.367188 KB'}",0.000000 %,172
decryption,2.447461 s,0.051073 KB/s,"{'current': '2.540039 KB', 'peak': '13.452148 KB'}",0.000000 %,128
encryption,0.544144 s,0.308685 KB/s,"{'current': '6.493164 KB', 'peak': '19.345703 KB'}",2.600000 %,172
decryption,2.448602 s,0.051050 KB/s,"{'current': '3.129883 KB', 'peak': '13.702148 KB'}",0.000000 %,128
encryption,0.545943 s,0.307667 KB/s,"{'current': '4.871094 KB', 'peak': '18.673828 KB'}",2.600000 %,172
decryption,2.419903 s,0.051655 KB/s,"{'current': '3.574219 KB', 'peak': '13.452148 KB'}",1.900000 %,128
encryption,0.540652 s,0.310678 KB/s,"{'current': '6.071289 KB', 'peak': '19.173828 KB'}",0.000000 %,172
decryption,2.448220 s,0.051057 KB/s,"{'current': '2.367188 KB', 'peak': '13.736328 KB'}",1.200000 %,128
encryption,0.425506 s,0.293768 KB/s,"{'current': '89.231445 KB', 'peak': '96.746094 KB'}",3.200000 %,128
decryption,2.469268 s,0.050622 KB/s,"{'current': '103.460938 KB', 'peak': '105.892578 KB'}",0.000000 %,128
encryption,0.400629 s,0.312010 KB/s,"{'current': '12.751953 KB', 'peak': '25.980469 KB'}",3.400000 %,128
decryption,2.430133 s,0.051438 KB/s,"{'current': '2.782227 KB', 'peak': '13.452148 KB'}",0.600000 %,128
encryption,0.391575 s,0.319223 KB/s,"{'current': '7.006836 KB', 'peak': '19.831055 KB'}",0.000000 %,128
decryption,2.449103 s,0.051039 KB/s,"{'current': '2.512695 KB', 'peak': '13.452148 KB'}",1.900000 %,128
encryption,0.389370 s,0.321031 KB/s,"{'current': '6.069336 KB', 'peak': '19.096680 KB'}",3.400000 %,128
decryption,2.448341 s,0.051055 KB/s,"{'current': '8.858398 KB', 'peak': '15.510742 KB'}",0.000000 %,128
encryption,0.421527 s,0.296541 KB/s,"{'current': '6.069336 KB', 'peak': '19.096680 KB'}",3.200000 %,128
decryption,2.435796 s,0.051318 KB/s,"{'current': '2.512695 KB', 'peak': '13.452148 KB'}",0.600000 %,128
encryption,0.775106 s,0.322537 KB/s,"{'current': '82.150391 KB', 'peak': '91.150391 KB'}",1.900000 %,256
decryption,2.447498 s,0.102145 KB/s,"{'current': '100.378906 KB', 'peak': '102.905273 KB'}",1.200000 %,256
encryption,0.800608 s,0.312263 KB/s,"{'current': '9.798828 KB', 'peak': '22.928711 KB'}",0.000000 %,256
decryption,2.443837 s,0.102298 KB/s,"{'current': '2.809570 KB', 'peak': '13.389648 KB'}",0.000000 %,256
encryption,0.773600 s,0.323164 KB/s,"{'current': '5.685547 KB', 'peak': '19.045898 KB'}",0.000000 %,256
decryption,2.415810 s,0.103485 KB/s,"{'current': '7.890625 KB', 'peak': '13.389648 KB'}",0.000000 %,256
encryption,0.770823 s,0.324329 KB/s,"{'current': '7.098633 KB', 'peak': '19.108398 KB'}",0.000000 %,256
decryption,2.415247 s,0.103509 KB/s,"{'current': '2.747070 KB', 'peak': '13.389648 KB'}",0.600000 %,256
encryption,0.784607 s,0.318631 KB/s,"{'current': '7.126953 KB', 'peak': '18.624023 KB'}",3.700000 %,256
decryption,2.416570 s,0.103452 KB/s,"{'current': '3.379883 KB', 'peak': '13.639648 KB'}",0.000000 %,256
encryption,2.316196 s,0.107936 KB/s,"{'current': '275.689453 KB', 'peak': '284.718750 KB'}",63.800000 %,256
decryption,2.518563 s,0.099263 KB/s,"{'current': '264.429688 KB', 'peak': '266.875977 KB'}",4.200000 %,256
encryption,2.285926 s,0.109365 KB/s,"{'current': '43.610352 KB', 'peak': '59.183594 KB'}",63.800000 %,256
decryption,2.516310 s,0.099352 KB/s,"{'current': '13.223633 KB', 'peak': '20.265625 KB'}",3.000000 %,256
encryption,1.599007 s,0.156347 KB/s,"{'current': '13.990234 KB', 'peak': '29.848633 KB'}",47.700000 %,256
decryption,2.508948 s,0.099643 KB/s,"{'current': '8.105469 KB', 'peak': '18.213867 KB'}",3.700000 %,256
encryption,2.244488 s,0.111384 KB/s,"{'current': '11.498047 KB', 'peak': '26.115234 KB'}",61.900000 %,256
decryption,2.514481 s,0.099424 KB/s,"{'current': '10.860352 KB', 'peak': '18.010742 KB'}",3.600000 %,256
encryption,1.863475 s,0.134158 KB/s,"{'current': '10.031250 KB', 'peak': '25.889648 KB'}",55.700000 %,256
decryption,2.505646 s,0.099775 KB/s,"{'current': '6.860352 KB', 'peak': '17.510742 KB'}",3.100000 %,256
encryption,0.802108 s,0.311679 KB/s,"{'current': '31.365234 KB', 'peak': '40.094727 KB'}",1.800000 %,256
decryption,2.416744 s,0.103445 KB/s,"{'current': '33.111328 KB', 'peak': '47.806641 KB'}",1.900000 %,256
encryption,0.774157 s,0.322932 KB/s,"{'current': '11.681641 KB', 'peak': '22.957031 KB'}",0.000000 %,256
decryption,2.444500 s,0.102270 KB/s,"{'current': '2.500977 KB', 'peak': '18.547852 KB'}",1.900000 %,256
encryption,0.802826 s,0.311400 KB/s,"{'current': '5.599609 KB', 'peak': '20.869141 KB'}",1.800000 %,256
decryption,2.419422 s,0.103330 KB/s,"{'current': '2.644531 KB', 'peak': '18.691406 KB'}",1.900000 %,256
encryption,0.772550 s,0.323604 KB/s,"{'current': '6.454102 KB', 'peak': '20.324219 KB'}",0.000000 %,256
decryption,2.446723 s,0.102177 KB/s,"{'current': '2.500977 KB', 'peak': '18.547852 KB'}",0.000000 %,256
encryption,0.772891 s,0.323461 KB/s,"{'current': '4.943359 KB', 'peak': '20.574219 KB'}",1.900000 %,256
decryption,2.445498 s,0.102229 KB/s,"{'current': '3.469727 KB', 'peak': '19.516602 KB'}",1.200000 %,256
encryption,1.049098 s,0.320215 KB/s,"{'current': '73.263672 KB', 'peak': '83.441406 KB'}",1.400000 %,344
decryption,2.449242 s,0.102072 KB/s,"{'current': '66.922852 KB', 'peak': '72.469727 KB'}",2.500000 %,256
